file,column,count,mean,median,mode,min,max,variance,std_dev
2dust_v2rayN.csv,number,31,5784.903225806452,6461.0,680.0,680.0,8024.0,4370048.223655914,2090.466030256391
2dust_v2rayN.csv,reviewsCount,31,2.903225806451613,2.0,1.0,1.0,17.0,11.290322580645162,3.3601075251612356
2dust_v2rayN.csv,hoursOpen,31,154.5532258064516,31.0,1.01,1.01,1095.86,80852.44471591395,284.3456430401457
2dust_v2rayN.csv,additions,31,668.9354838709677,44.0,2.0,0.0,13119.0,5642887.195698925,2375.4762039849875
2dust_v2rayN.csv,deletions,31,511.0,17.0,2.0,0.0,13220.0,5590352.8,2364.392691580652
2dust_v2rayN.csv,changedFiles,31,8.580645161290322,3.0,1.0,0.0,86.0,305.71827956989245,17.484801387773683
2dust_v2rayN.csv,bodyLength,31,363.1290322580645,83.0,0.0,0.0,2075.0,364480.44946236553,603.7221624740685
2dust_v2rayN.csv,issueCommentsCount,31,3.3548387096774195,1.0,0.0,0.0,30.0,48.70322580645161,6.9787696484732615
2dust_v2rayN.csv,reviewThreadsCount,31,1.2580645161290323,1.0,1.0,0.0,9.0,3.064516129032258,1.7505759420922755
2dust_v2rayN.csv,interactionsCount,31,4.612903225806452,2.0,1.0,0.0,33.0,55.91182795698925,7.477421210349812
3b1b_manim.csv,number,122,1332.0655737704917,1536.0,38.0,38.0,2280.0,285457.5989703292,534.2823214091303
3b1b_manim.csv,reviewsCount,122,2.0737704918032787,1.0,1.0,1.0,10.0,3.9036038477171116,1.9757539947364682
3b1b_manim.csv,hoursOpen,122,2496.9780327868853,114.60499999999999,1.1,1.1,44737.58,31388890.21504403,5602.578889676078
3b1b_manim.csv,additions,122,195.20491803278688,12.0,1.0,0.0,3549.0,275306.0320417288,524.6961330539123
3b1b_manim.csv,deletions,122,175.78688524590163,3.0,1.0,0.0,7020.0,531273.1277604662,728.8848521957815
3b1b_manim.csv,changedFiles,122,7.155737704918033,2.0,1.0,1.0,121.0,415.6201734182361,20.38676466284526
3b1b_manim.csv,bodyLength,122,892.8360655737705,435.5,0.0,0.0,8629.0,1566732.3365397647,1251.691789754876
3b1b_manim.csv,issueCommentsCount,122,2.3688524590163933,1.0,0.0,0.0,39.0,26.614889581357538,5.15896206434565
3b1b_manim.csv,reviewThreadsCount,122,0.7295081967213115,0.0,0.0,0.0,6.0,1.504741904890936,1.226679218414878
3b1b_manim.csv,interactionsCount,122,3.098360655737705,1.0,0.0,0.0,39.0,28.601815472158247,5.348066517177797
